timestamp_ms,rel_timestamp_ms,accel_x,accel_y,accel_z,label
1790089210788,4868,1.0672,2.2379,9.5970,Walking
1790089210808,4888,0.9667,1.9226,9.5635,Walking
1790089210830,4910,1.0516,1.8203,9.4385,Walking
1790089210850,4930,1.2042,1.6911,10.1659,Walking
1790089210873,4953,1.3149,1.5745,11.0345,Walking
1790089210893,4973,1.3801,1.4058,11.7930,Walking
1790089210914,4994,1.3561,1.2526,11.9372,Walking
1790089210935,5015,1.3125,1.1067,11.4921,Walking
1790089210956,5036,1.1408,0.9129,10.7007,Walking
1790089210978,5058,0.9392,0.6586,9.9099,Walking
1790089210999,5079,0.5743,0.4104,9.0018,Walking
1790089211023,5103,0.5228,0.3559,8.4239,Walking
1790089211042,5122,0.5725,0.3302,8.6393,Walking
1790089211063,5143,0.6921,0.3906,9.0485,Walking
1790089211083,5163,0.6395,0.4355,9.1837,Walking
1790089211107,5187,0.3081,0.3320,9.5031,Walking
1790089211126,5206,-0.1914,0.1663,9.5318,Walking
1790089211148,5228,-0.1089,0.2554,9.5139,Walking
1790089211169,5249,-0.0544,0.4104,9.4774,Walking
1790089211191,5271,-0.4319,0.3894,9.3571,Walking
1790089211212,5292,-0.6377,0.4002,9.4086,Walking
1790089211233,5313,-0.5827,0.5061,9.5761,Walking
1790089211254,5334,-0.5426,0.5408,9.7962,Walking
1790089211275,5355,-0.3176,0.6431,10.1151,Walking
1790089211297,5377,-0.6012,0.6000,10.1492,Walking
1790089211316,5396,-0.5228,0.7292,10.2174,Walking
1790089211339,5419,-0.2997,0.8363,10.3196,Walking
1790089211358,5438,-0.2949,0.7896,10.2951,Walking
1790089211382,5462,-0.7005,0.5486,10.1713,Walking
1790089211402,5482,-0.8746,0.2058,10.8957,Walking
1790089211423,5503,-0.4481,0.2728,11.3001,Walking
1790089211445,5525,0.0814,0.5091,10.8377,Walking
1790089211465,5545,0.2602,0.6664,10.5141,Walking
1790089211486,5566,0.4385,0.7065,10.5332,Walking
1790089211508,5588,0.5809,0.7980,10.2999,Walking
1790089211528,5608,0.9553,1.1091,9.5839,Walking
1790089211550,5630,1.4608,1.5613,9.0066,Walking
1790089211571,5651,1.6451,1.7695,8.8786,Walking
1790089211592,5672,1.4195,1.7671,8.5819,Walking
1790089211614,5694,1.5613,1.8317,8.5866,Walking
1790089211634,5714,1.7611,1.8269,9.0562,Walking
1790089211656,5736,2.1852,1.8778,10.1378,Walking
1790089211678,5758,2.2427,1.8443,11.2211,Walking
1790089211698,5778,1.8090,1.6905,11.1045,Walking
1790089211719,5799,1.4919,1.8407,9.4690,Walking
1790089211742,5822,1.9872,2.2720,8.4861,Walking
1790089211762,5842,2.1745,2.4981,8.3833,Walking
1790089211783,5863,2.1936,2.5143,8.4419,Walking
1790089211803,5883,2.4628,2.5537,8.8618,Walking
1790089211828,5908,3.0473,2.6638,9.0257,Walking
1790089211846,5926,2.6166,2.5430,7.8568,Walking
1790089211868,5948,2.3324,2.3994,7.3190,Walking
1790089211889,5969,2.5125,2.1553,8.4562,Walking
1790089211911,5991,2.4491,1.8269,9.6443,Walking
1790089211931,6011,2.0160,1.5188,10.2861,Walking
1790089211953,6033,1.9687,1.4530,10.6277,Walking
1790089211974,6054,2.1661,1.7121,10.5081,Walking
1790089211995,6075,2.3994,2.0148,9.9888,Walking
1790089212016,6096,2.4227,2.3880,8.5460,Walking
1790089212037,6117,2.5065,2.6644,7.4925,Walking
1790089212058,6138,2.5065,2.7123,7.2742,Walking
1790089212079,6159,2.3833,2.5328,7.5517,Walking
1790089212102,6182,2.4826,2.4981,7.9394,Walking
1790089212123,6203,2.4742,2.4329,8.2349,Walking
1790089212144,6224,2.5029,2.3049,8.3856,Walking
1790089212164,6244,2.3342,2.1218,8.6255,Walking
1790089212185,6265,2.1248,1.9226,9.0000,Walking
1790089212206,6286,2.2672,1.9860,9.1866,Walking
1790089212227,6307,2.5472,2.0770,9.3685,Walking
1790089212249,6329,2.8056,2.1314,9.5366,Walking
1790089212271,6351,2.8122,2.1135,9.6203,Walking
1790089212291,6371,2.6429,2.0865,9.0718,Walking
1790089212313,6393,2.7517,2.1811,8.7637,Walking
1790089212335,6415,2.8295,2.3336,8.2756,Walking
1790089212354,6434,2.5107,2.3773,7.6905,Walking
1790089212377,6457,2.1858,2.3246,7.5338,Walking
1790089212397,6477,2.0626,2.3898,7.5930,Walking
1790089212419,6499,2.2002,2.5956,7.7067,Walking
1790089212440,6520,2.3384,2.8152,8.0877,Walking
1790089212462,6542,1.9609,2.6213,9.0610,Walking
1790089212483,6563,1.7115,2.4485,10.1121,Walking
1790089212504,6584,1.5870,2.5017,10.3430,Walking
1790089212524,6604,1.4417,2.3910,11.0178,Walking
1790089212546,6626,1.7498,2.4323,11.5843,Walking
1790089212567,6647,1.7659,2.6273,10.6086,Walking
1790089212588,6668,1.4339,2.5938,9.6718,Walking
1790089212611,6691,1.0445,2.2175,10.0564,Walking
1790089212630,6710,1.0158,1.9322,10.7803,Walking
1790089212652,6732,0.8435,1.5332,11.9420,Walking
1790089212673,6753,0.7669,1.1246,12.4869,Walking
1790089212694,6774,0.5390,0.9272,11.1685,Walking
1790089212714,6794,0.7178,0.9685,9.8213,Walking
1790089212736,6816,0.4816,0.8758,8.7721,Walking
1790089212757,6837,0.9320,1.2072,8.5729,Walking
1790089212778,6858,1.8921,1.6528,9.6778,Walking
1790089212801,6881,1.8311,1.6193,10.5446,Walking
1790089212822,6902,1.7025,1.5380,11.4682,Walking
1790089212842,6922,1.3101,1.2999,11.9390,Walking
1790089212863,6943,0.7831,1.2981,10.4913,Walking
1790089212885,6965,0.6239,1.4949,8.6178,Walking
1790089212906,6986,0.6616,1.6337,7.6092,Walking
1790089212926,7006,0.2489,1.5314,7.0379,Walking
1790089212950,7030,0.5025,1.6546,7.0050,Walking
1790089212969,7049,1.2969,2.1619,7.0241,Walking
1790089212991,7071,1.7192,2.5161,7.0636,Walking
1790089213012,7092,1.3627,2.3192,7.7372,Walking
1790089213034,7114,1.2269,2.1404,8.4497,Walking
1790089213054,7134,1.3507,1.9813,9.1179,Walking
1790089213075,7155,1.5446,2.1170,8.8552,Walking
1790089213097,7177,1.4788,2.0291,8.9025,Walking
1790089213117,7197,1.2526,1.8012,9.5396,Walking
1790089213139,7219,1.0116,1.6690,9.8357,Walking
1790089213161,7241,0.8118,1.8604,8.9001,Walking
1790089213182,7262,0.6520,2.1565,8.0303,Walking
1790089213202,7282,0.4702,2.2313,7.7833,Walking
1790089213224,7304,0.1119,2.1966,8.1129,Walking
1790089213244,7324,0.3129,2.3258,9.1944,Walking
1790089213266,7346,0.8309,2.6883,9.9577,Walking
1790089213287,7367,1.0421,3.0640,10.3645,Walking
1790089213308,7388,1.5039,3.4409,10.8891,Walking
1790089213329,7409,1.8054,3.6766,11.3288,Walking
1790089213351,7431,2.0016,3.7866,11.6118,Walking
1790089213372,7452,2.3486,3.8219,10.9705,Walking
1790089213393,7473,2.7745,3.6927,10.0056,Walking
1790089213414,7494,2.9306,3.2291,10.1874,Walking
1790089213435,7515,2.3432,2.3151,11.9964,Walking
1790089213456,7536,1.4740,1.5781,13.3693,Walking
1790089213477,7557,0.9272,1.1743,12.9290,Walking
1790089213499,7579,0.9607,1.2957,10.2891,Walking
1790089213521,7601,1.4088,1.4118,8.3234,Walking
1790089213541,7621,1.6301,1.3914,7.1097,Walking
1790089213564,7644,2.5208,1.6164,7.3729,Walking
1790089213583,7663,4.0313,1.9591,8.9510,Walking
1790089213606,7686,4.3807,2.1165,9.2303,Walking
1790089213626,7706,4.1300,1.9095,9.7083,Walking
1790089213646,7726,3.4445,1.5332,10.2586,Walking
1790089213669,7749,2.4550,1.2574,9.3781,Walking
1790089213690,7770,1.8269,1.4357,7.6187,Walking
1790089213711,7791,1.6540,1.8491,6.2465,Walking
1790089213732,7812,1.7934,2.2744,5.6076,Walking
1790089213753,7833,1.7545,2.4933,5.2917,Walking
1790089213774,7854,1.6337,2.4837,5.6722,Walking
1790089213795,7875,1.4040,2.3384,6.0796,Walking
1790089213817,7897,1.5206,2.4156,6.2883,Walking
1790089213837,7917,1.2814,2.3228,6.7765,Walking
1790089213860,7940,1.0307,2.2397,7.7850,Walking
1790089213882,7962,1.0606,2.2989,8.7512,Walking
1790089213902,7982,0.7573,2.3868,9.5043,Walking
1790089213922,8002,0.8213,2.6273,10.1408,Walking
1790089213944,8024,0.7645,2.9498,9.6431,Walking
1790089213964,8044,0.8692,3.2459,9.4457,Walking
1790089213987,8067,0.8883,3.2985,9.8746,Walking
1790089214007,8087,1.1982,3.3434,10.4698,Walking
1790089214028,8108,1.3783,3.4409,10.2975,Walking
1790089214049,8129,1.1408,3.3087,9.9601,Walking
1790089214071,8151,1.0355,3.1047,10.0032,Walking
1790089214094,8174,0.7196,2.8092,10.1324,Walking
1790089214115,8195,0.6281,2.6961,10.0678,Walking
1790089214134,8214,0.2728,2.4377,9.5186,Walking
1790089214154,8234,0.0239,2.1266,9.5773,Walking
1790089214177,8257,0.3601,1.9573,10.9412,Walking
1790089214197,8277,0.2746,1.3101,14.6548,Walking
1790089214219,8299,0.1484,0.7388,16.7354,Walking
1790089214241,8321,0.8100,1.1629,13.9992,Walking
1790089214263,8343,1.3765,1.7390,10.3932,Walking
1790089214282,8362,1.6666,1.7450,9.1466,Walking
1790089214304,8384,1.4704,1.2682,9.6209,Walking
1790089214324,8404,1.4034,0.9176,10.6211,Walking
1790089214347,8427,1.2616,0.6688,11.1757,Walking
1790089214368,8448,1.4465,0.6616,10.8957,Walking
1790089214388,8468,1.5649,0.8746,9.8261,Walking
1790089214411,8491,1.6044,1.1103,8.1864,Walking
1790089214431,8511,1.4004,1.2502,6.7687,Walking
1790089214453,8533,0.9009,1.2108,5.7416,Walking
1790089214473,8553,0.3906,1.0654,5.6166,Walking
1790089214495,8575,0.7801,1.2891,6.3428,Walking
1790089214515,8595,1.0134,1.5428,6.8453,Walking
1790089214538,8618,0.9607,1.7420,6.5324,Walking
1790089214557,8637,1.0672,1.8299,7.0780,Walking
1790089214580,8660,1.0469,1.8269,7.7420,Walking
1790089214601,8681,1.2502,1.8891,8.5741,Walking
1790089214622,8702,1.6684,2.1739,9.0221,Walking
1790089214644,8724,1.8969,2.4455,8.9360,Walking
1790089214664,8744,1.6684,2.3468,9.0820,Walking
1790089214685,8765,1.3795,2.3844,8.6255,Walking
1790089214706,8786,1.0959,2.4467,8.1960,Walking
1790089214727,8807,1.0875,2.6112,8.4323,Walking
1790089214749,8829,1.2407,2.7452,9.2680,Walking
1790089214770,8850,1.5284,2.8857,10.4291,Walking
1790089214791,8871,1.5715,3.0688,10.8909,Walking
1790089214812,8892,1.7982,3.3242,11.1948,Walking
1790089214834,8914,2.4054,3.6479,10.9484,Walking
1790089214854,8934,2.9019,3.8650,10.7689,Walking
1790089214877,8957,3.0275,3.5509,10.2688,Walking
1790089214897,8977,3.4014,3.2363,9.6658,Walking
1790089214918,8998,4.1761,2.6800,10.8383,Walking
1790089214940,9020,3.4792,1.5398,13.3436,Walking
1790089214961,9041,2.0518,0.3673,15.7466,Walking
1790089214981,9061,1.2221,0.0622,14.6536,Walking
1790089215004,9084,1.0355,0.5007,10.5111,Walking
1790089215024,9104,1.1468,0.9344,7.3795,Walking
1790089215045,9125,1.9334,1.3609,5.7464,Walking
1790089215067,9147,2.7194,1.7019,5.5274,Walking
1790089215087,9167,3.6371,2.0231,6.8327,Walking
1790089215110,9190,4.2066,1.9059,8.5376,Walking
1790089215130,9210,4.3298,1.8365,9.0987,Walking
1790089215151,9231,3.4325,1.3591,9.4600,Walking
1790089215172,9252,1.9735,0.8136,9.6036,Walking
1790089215194,9274,1.3478,1.0175,8.7159,Walking
1790089215214,9294,1.2012,1.5123,7.7210,Walking
1790089215235,9315,0.9715,1.9860,6.7848,Walking
1790089215257,9337,0.8088,2.3258,6.4415,Walking
1790089215278,9358,0.9811,2.7488,6.3888,Walking
1790089215300,9380,0.8249,2.9683,6.4187,Walking
1790089215321,9401,0.6114,2.9605,6.7801,Walking
1790089215342,9422,0.1783,2.7691,7.4704,Walking
1790089215363,9443,0.3697,2.8510,8.1751,Walking
1790089215385,9465,0.3894,2.9204,8.9695,Walking
1790089215405,9485,0.0467,2.9462,9.6227,Walking
1790089215428,9508,-0.3769,3.0185,9.6610,Walking
1790089215447,9527,-0.5611,3.0963,9.8955,Walking
1790089215469,9549,-0.6491,3.0885,10.3801,Walking
1790089215494,9574,-0.2901,3.2560,10.7755,Walking
1790089215511,9591,-0.1448,3.2961,11.0178,Walking
1790089215532,9612,0.0287,3.2746,11.0405,Walking
1790089215554,9634,0.1089,3.2847,11.0166,Walking
1790089215575,9655,-0.1663,3.0042,10.7504,Walking
1790089215596,9676,-0.2871,2.8319,10.3035,Walking
1790089215618,9698,0.1496,2.7290,10.8903,Walking
1790089215637,9717,0.5563,2.4981,12.4798,Walking
1790089215660,9740,0.5970,1.7025,15.4373,Walking
1790089215682,9762,0.9254,0.7836,16.6217,Walking
1790089215702,9782,1.3436,0.8435,13.1569,Walking
1790089215723,9803,1.4405,0.9781,9.2764,Walking
1790089215744,9824,1.7498,1.1055,7.6857,Walking
1790089215765,9845,2.3085,1.1390,8.7272,Walking
1790089215787,9867,2.6399,1.2000,10.2808,Walking
1790089215807,9887,2.5687,1.1228,10.9801,Walking
1790089215828,9908,2.3892,0.9248,11.0357,Walking
1790089215851,9931,2.0273,0.8201,9.7448,Walking
1790089215871,9951,1.4512,0.8393,7.8640,Walking
1790089215893,9973,0.8913,0.9105,6.4092,Walking
1790089215914,9994,0.5342,1.1019,5.5783,Walking
1790089215935,10015,0.6855,1.3466,5.7733,Walking
1790089215956,10036,1.0421,1.6863,6.0921,Walking
1790089215978,10058,1.2455,1.9430,6.5192,Walking
1790089215998,10078,1.0899,2.0423,6.7065,Walking
1790089216021,10101,0.9829,2.1153,6.9326,Walking
1790089216042,10122,1.2203,2.2223,7.3089,Walking
1790089216062,10142,1.3161,2.2128,7.7300,Walking
1790089216083,10163,1.3065,2.1458,8.5196,Walking
1790089216107,10187,1.3047,2.2367,9.3099,Walking
1790089216125,10205,1.2664,2.4676,8.9922,Walking
1790089216147,10227,1.1803,2.7296,8.3450,Walking
1790089216170,10250,1.2586,3.0197,8.3282,Walking
1790089216189,10269,1.2144,3.2333,8.6369,Walking
1790089216210,10290,1.1498,3.3942,8.9934,Walking
1790089216231,10311,1.4931,3.7155,9.6682,Walking
1790089216253,10333,1.8556,3.9637,10.5649,Walking
1790089216274,10354,2.1811,4.2353,10.6253,Walking
1790089216295,10375,2.0052,4.1043,10.3621,Walking
1790089216315,10395,1.6672,3.7268,10.5248,Walking
1790089216338,10418,1.7354,3.3565,10.3214,Walking
1790089216358,10438,1.9842,3.1621,10.3071,Walking
